,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1913-12-31,3185.0789046681602,762.2895102566401,88.88658145228801,0.0
1914-01-31,1989.5416415539203,0.0,148.72007830118403,0.0
1914-02-28,3830.703006965761,0.0,224.58091032115203,0.0
1914-03-31,10218.700429655042,7225.609744880641,369.44989748582407,0.0
1914-04-30,17743.336074547202,8912.727464832002,1141.0839671178242,0.0
1914-05-31,7212.867163914241,7150.853269877761,359.51068433203204,0.0
1914-06-30,1482.3869190912003,632.6833034050561,134.16521915289601,0.0
1914-07-31,1702.4088171110402,373.81069186099205,163.75632384153602,0.0
1914-08-31,1369.3177506493441,896.9644326481921,134.92977401088,0.0
1914-09-30,701.6348248565761,565.034356896768,242.22230574796805,0.0
1914-10-31,471.87193160908805,210.22426909900804,132.2481686386176,0.0
1914-11-30,582.9589207895041,347.56097507020803,110.44136507811842,0.0
1914-12-31,1230.0838159564803,195.27297409843203,94.58393098659842,0.0
1915-01-31,9510.212927923201,4447.443925739521,312.78505577057285,0.0
1915-02-28,9576.757517414402,8001.208173035521,473.8541108705281,0.0
1915-03-31,3659.6692535500806,2376.0665975347206,372.7912853836801,0.0
1915-04-30,5301.763187420161,2987.1441469900806,164.605829239296,0.0
1915-05-31,3475.8929191680004,1394.3215261900802,164.97394824499202,0.0
1915-06-30,1501.3592063078402,372.45148322457607,123.36800554736642,0.0
1915-07-31,5681.492100218881,4659.253938247681,248.39537830502405,0.0
1915-08-31,5008.966993658881,3922.4495899238404,293.475798079488,0.0
1915-09-30,3023.9560475596804,738.8431612784641,310.63580711424004,0.0
1915-10-31,2552.7637202688,1982.7172815252484,440.21369711923205,0.0
1915-11-30,2762.0252165836805,1126.557424816128,273.62568861849604,0.0
1915-12-31,5392.660264980481,1132.5889131402241,263.09182168627206,0.0
1916-01-31,9658.310035599361,3893.7929411727364,440.52518243174404,0.0
1916-02-29,6320.036990868481,1127.0954449013761,269.40647847628804,0.0
1916-03-31,6206.2032675686405,6043.183181738497,289.45480586342404,0.0
1916-04-30,17573.4349949952,12069.772691374083,839.5095509130241,0.0
1916-05-31,5477.610804756481,3408.4988242790405,471.5038126033921,0.0
1916-06-30,5152.2502374144005,7941.176458260481,348.97681739980806,0.0
1916-07-31,4749.8678473420805,893.3681931310082,181.31276872857603,0.0
1916-08-31,1896.3792162662403,290.53084603392006,103.89451014604802,0.0
1916-09-30,1447.6987820160002,311.65521359155207,93.13410844108802,0.0
1916-10-31,1739.3623019136003,488.43728686540805,74.05704889205761,0.0
1916-11-30,1724.7791259187202,465.07588842700807,67.45356026680321,0.0
1916-12-31,3980.4991254374404,426.5366602152961,82.65970688670721,0.0
1917-01-31,5087.40465871872,727.4597889484801,110.48100866334723,0.0
1917-02-28,1766.9712273408004,711.0360179251202,130.28581116979203,0.0
1917-03-31,11859.095352729602,4155.497237376001,313.863927625728,0.0
1917-04-30,8802.858100055042,2759.7598688563203,543.0321670947841,0.0
1917-05-31,4308.12504050688,2441.9032658611204,305.28392310835204,0.0
1917-06-30,9103.299842396162,4873.329298483201,588.5373395681281,0.0
1917-07-31,4204.485381980161,3562.8256382054406,411.58536521472007,0.0
1917-08-31,2212.11205576704,3031.3184276736006,197.65158921216002,0.0
1917-09-30,1254.4363040256003,1508.5516853422082,182.98346267750404,0.0
1917-10-31,4136.100197460481,4938.88279834368,235.22804463974404,0.0
1917-11-30,4855.7728535961605,1664.1810742118403,331.44868935936006,0.0
1917-12-31,1798.1197585920004,787.7746721894401,200.73812549068802,0.0
1918-01-31,1134.0897060096001,481.95272899584006,152.995922136576,0.0
1918-02-28,6320.320159334401,4080.7407623731206,141.24443080089603,0.0
1918-03-31,12505.285791959042,8342.426174469121,549.3468238848001,0.0
1918-04-30,9125.953319669761,5735.860445675521,404.5344704133121,0.0
1918-05-31,4500.962765798401,2263.9318850304003,268.58528992512004,0.0
1918-06-30,2936.1738231244804,1379.3702311895042,209.71456586035202,0.0
1918-07-31,1200.7758797337601,334.05383924582407,164.49256185292802,0.0
1918-08-31,552.235142237184,244.31775239577604,159.84859901184004,0.0
1918-09-30,1390.8951877524482,790.6063568486401,120.48818224896002,0.0
1918-10-31,2961.0926481254405,1481.6506810798082,119.24224099891202,0.0
1918-11-30,2772.5024498227203,1591.5483627033602,128.50184983449603,0.0
1918-12-31,4562.693491368961,1431.27501099264,179.67039162624002,0.0
1919-01-31,4685.588605578241,1505.0403963648002,259.43894847590406,0.0
1919-02-28,2029.1852267827203,620.8751783761921,150.87215864217603,0.0
1919-03-31,8174.507274178561,3278.8076668876806,256.83379858944005,0.0
1919-04-30,7870.384341780481,4132.56059163648,546.6000897653761,0.0
1919-05-31,6655.308454517761,10091.557788456961,517.4903714688,0.0
1919-06-30,1909.1217972326403,1285.01849834496,164.12444284723202,0.0
1919-07-31,2462.00822694144,810.6546842357761,151.74998088652802,0.0
1919-08-31,2431.2844483891204,676.9991683215361,153.73216014796802,0.0
1919-09-30,1599.0523270502404,334.8750277969921,120.31544948474883,0.0
1919-10-31,1756.4939941017603,383.97643978752006,106.92441273139201,0.0
1919-11-30,7351.336543749121,1821.1979885644803,128.98323622656002,0.0
1919-12-31,5121.668043095041,969.8519957760001,123.60303537408002,0.0
1920-01-31,1313.9016818688,238.42784830464004,130.96541548800002,0.0
1920-02-29,1093.0302784512003,316.01600796672005,105.53688724838402,0.0
1920-03-31,18615.494949580803,8748.20658613248,728.9605818178561,0.0
1920-04-30,11485.596146181122,2295.3635847475202,492.3733285416961,0.0
1920-05-31,4371.837945338881,1451.9463090048002,219.56882847436802,0.0
1920-06-30,2960.8094796595205,448.59548371046407,148.60681091481604,0.0
1920-07-31,4494.733059548161,1381.7205294566402,113.23906952140801,0.0
1920-08-31,3218.7759521126404,1023.9088559201282,63.65627113881601,0.0
1920-09-30,3520.3503683174404,447.2645919206401,61.64577503078401,0.0
1920-10-31,5650.060400501761,767.1600078704641,106.89609588480002,0.0
1920-11-30,7234.104798858241,1464.6605731246082,98.31609136742402,0.0
1920-12-31,11249.150477137922,2570.03699668992,369.44989748582407,0.0
1921-01-31,3708.0910612224006,900.4757216256002,241.11794873088004,0.0
1921-02-28,2554.7458995302404,1727.6108105779203,172.08147673958402,0.0
1921-03-31,16055.935186129922,5804.670382894081,502.00105638297606,0.0
1921-04-30,6684.474806507521,2335.57350690816,258.39122515200006,0.0
1921-05-31,4609.133119779841,1446.8492766182403,220.50328441190402,0.0
